"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"R101"	"R102"	"R103"	"R104"	"R105"	"R106"	"R107"	"R108"	"R109"	"R110"	"R111"	"R112"	"R113"	"R114"	"R115"	"R116"	"R117"	"R118"	"R119"	"R120"	"R121"	"R122"	"R123"	"R124"	"R125"	"R126"	"R127"	"R128"	"R129"	"R130"	"R131"	"R132"	"R139"	"R140"	"R141"	"R142"	"R133"	"R143_01"	"R144_01"	"P001_01"	"P001_01a"	"P002_01"	"P002_01a"	"P003_01"	"P003_01a"	"P004_01"	"P004_01a"	"P005_01"	"P005_01a"	"P006_01"	"P006_01a"	"P007_01"	"P007_01a"	"P008_01"	"P008_01a"	"P009_01"	"P009_01a"	"P010_01"	"P010_01a"	"P011_01"	"P011_01a"	"P012_01"	"P012_01a"	"P013_01"	"P013_01a"	"P014_01"	"P014_01a"	"P015_01"	"P015_01a"	"P016_01"	"P016_01a"	"P017_01"	"P017_01a"	"P018_01"	"P018_01a"	"P019_01"	"P019_01a"	"P020_01"	"P020_01a"	"P021_01"	"P021_01a"	"P022_01"	"P022_01a"	"P023_01"	"P023_01a"	"P024_01"	"P024_01a"	"P025_01"	"P025_01a"	"P026_01"	"P026_01a"	"P027_01"	"P027_01a"	"P028_01"	"P028_01a"	"P029_01"	"P029_01a"	"P030_01"	"P030_01a"	"P031_01"	"P031_01a"	"P032_01"	"P032_01a"	"P033_01"	"P033_01a"	"P034_01"	"P034_01a"	"P035_01"	"P035_01a"	"P036_01"	"P036_01a"	"P037_01"	"P037_01a"	"P038_01"	"P038_01a"	"P039_01"	"P039_01a"	"P040_01"	"P040_01a"	"P041_01"	"P041_01a"	"P042_01"	"P042_01a"	"P043_01"	"P043_01a"	"P044_01"	"P044_01a"	"P045_01"	"P045_01a"	"P046_01"	"P046_01a"	"P047_01"	"P047_01a"	"P048_01"	"P048_01a"	"P049_01"	"P049_01a"	"P050_01"	"P050_01a"	"P051_01"	"P051_01a"	"P052_01"	"P052_01a"	"P053_01"	"P053_01a"	"P054_01"	"P054_01a"	"P055_01"	"P055_01a"	"P056_01"	"P056_01a"	"P057_01"	"P057_01a"	"P058_01"	"P058_01a"	"P059_01"	"P059_01a"	"P060_01"	"P060_01a"	"P061_01"	"P061_01a"	"P062_01"	"P062_01a"	"P063_01"	"P063_01a"	"P064_01"	"P064_01a"	"P065_01"	"P066_01"	"P067_01"	"P067_01a"	"D201_01"	"D201_01a"	"D202_01"	"D202_01a"	"D203_01"	"D203_01a"	"D204_01"	"D204_01a"	"D205_01"	"D205_01a"	"D206_01"	"D206_01a"	"D207_01"	"D207_01a"	"D208_01"	"D208_01a"	"D209_01"	"D209_01a"	"D210_01"	"D210_01a"	"D211_01"	"D211_01a"	"D212_01"	"D212_01a"	"D213_01"	"D213_01a"	"D214_01"	"D214_01a"	"D215_01"	"D215_01a"	"D216_01"	"D216_01a"	"D217_01"	"D217_01a"	"D218_01"	"D218_01a"	"D219_01"	"D219_01a"	"D220_01"	"D220_01a"	"D221_01"	"D221_01a"	"D222_01"	"D222_01a"	"D223_01"	"D223_01a"	"D224_01"	"D224_01a"	"D225_01"	"D225_01a"	"D226_01"	"D226_01a"	"D227_01"	"D227_01a"	"D228_01"	"D228_01a"	"D229_01"	"D229_01a"	"D230_01"	"D230_01a"	"D231_01"	"D231_01a"	"D232_01"	"D232_01a"	"D233_01"	"D233_01a"	"D234_01"	"D234_01a"	"D235_01"	"D235_01a"	"D236_01"	"D236_01a"	"D237_01"	"D237_01a"	"D238_01"	"D238_01a"	"D239_01"	"D239_01a"	"D240_01"	"D240_01a"	"D241_01"	"D241_01a"	"D242_01"	"D242_01a"	"D243_01"	"D243_01a"	"D244_01"	"D244_01a"	"D245_01"	"D245_01a"	"D246_01"	"D246_01a"	"D247_01"	"D247_01a"	"D248_01"	"D248_01a"	"D249_01"	"D249_01a"	"D250_01"	"D250_01a"	"D251_01"	"D251_01a"	"D252_01"	"D252_01a"	"D253_01"	"D253_01a"	"D254_01"	"D254_01a"	"D255_01"	"D255_01a"	"D256_01"	"D256_01a"	"D259_01"	"D259_01a"	"D260_01"	"D260_01a"	"D261_01"	"D261_01a"	"D262_01"	"D262_01a"	"D257_01"	"D258_01"	"D263_01"	"D263_01a"	"D264_01"	"D264_01a"	"ZZ01"	"ZZ01_03"	"ZZ02_01"	"ZZ03_01"	"TIME001"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME089"	"TIME090"	"TIME091"	"TIME092"	"TIME093"	"TIME094"	"TIME095"	"TIME096"	"TIME097"	"TIME098"	"TIME099"	"TIME100"	"TIME101"	"TIME102"	"TIME103"	"TIME104"	"TIME105"	"TIME106"	"TIME107"	"TIME108"	"TIME109"	"TIME110"	"TIME111"	"TIME112"	"TIME113"	"TIME114"	"TIME115"	"TIME116"	"TIME117"	"TIME118"	"TIME119"	"TIME120"	"TIME121"	"TIME122"	"TIME123"	"TIME124"	"TIME125"	"TIME126"	"TIME127"	"TIME128"	"TIME129"	"TIME130"	"TIME131"	"TIME132"	"TIME133"	"TIME134"	"TIME135"	"TIME136"	"TIME137"	"TIME138"	"TIME139"	"TIME140"	"TIME141"	"TIME142"	"TIME143"	"TIME144"	"TIME145"	"TIME146"	"TIME147"	"TIME148"	"TIME149"	"TIME150"	"TIME151"	"TIME152"	"TIME153"	"TIME154"	"TIME155"	"TIME156"	"TIME157"	"TIME158"	"TIME159"	"TIME160"	"TIME161"	"TIME162"	"TIME163"	"TIME164"	"TIME165"	"TIME166"	"TIME167"	"TIME168"	"TIME169"	"TIME170"	"TIME171"	"TIME172"	"TIME173"	"TIME174"	"TIME175"	"TIME176"	"TIME177"	"TIME178"	"TIME179"	"TIME180"	"TIME181"	"TIME182"	"TIME183"	"TIME184"	"TIME185"	"TIME186"	"TIME187"	"TIME188"	"TIME189"	"TIME190"	"TIME191"	"TIME192"	"TIME193"	"TIME194"	"TIME195"	"TIME196"	"TIME197"	"TIME198"	"TIME199"	"TIME200"	"TIME201"	"TIME202"	"TIME203"	"TIME204"	"TIME205"	"TIME206"	"TIME207"	"TIME208"	"TIME209"	"TIME210"	"TIME211"	"TIME212"	"TIME213"	"TIME214"	"TIME215"	"TIME216"	"TIME217"	"TIME218"	"TIME219"	"TIME220"	"TIME221"	"TIME222"	"TIME223"	"TIME224"	"TIME225"	"TIME226"	"TIME227"	"TIME228"	"TIME229"	"TIME230"	"TIME231"	"TIME232"	"TIME233"	"TIME234"	"TIME235"	"TIME236"	"TIME237"	"TIME238"	"TIME239"	"TIME240"	"TIME241"	"TIME242"	"TIME243"	"TIME244"	"TIME245"	"TIME246"	"TIME247"	"TIME248"	"TIME249"	"TIME250"	"TIME251"	"TIME252"	"TIME253"	"TIME254"	"TIME255"	"TIME256"	"TIME257"	"TIME258"	"TIME259"	"TIME260"	"TIME261"	"TIME262"	"TIME263"	"TIME264"	"TIME265"	"TIME266"	"TIME267"	"TIME268"	"TIME269"	"TIME270"	"TIME271"	"TIME272"	"TIME273"	"TIME274"	"TIME275"	"TIME276"	"TIME277"	"TIME278"	"TIME279"	"TIME280"	"TIME281"	"TIME282"	"TIME283"	"TIME284"	"TIME285"	"TIME286"	"TIME287"	"TIME288"	"TIME289"	"TIME290"	"TIME291"	"TIME292"	"TIME293"	"TIME294"	"TIME295"	"TIME296"	"TIME297"	"TIME298"	"TIME299"	"TIME300"	"TIME301"	"TIME302"	"TIME303"	"TIME304"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
740			"base"	"admin"	2020-11-04 12:55:44																																																																																																																																																																																																																																																																																																						1	12406						"DPR"																																																																																																																																																																																											14																																																																																																																					14		2020-11-04 12:55:58	F	F	188	188	0	0	0.57	0
741			"base"	"admin"	2020-11-04 13:03:40																																																																																																																																																																																																																																																																																																													"DPR"		80																																																																																																																																																																																																																																																																																																														10		2020-11-04 13:05:00	F	F	3	3			0.13	0
759			"base"	"admin"	2020-11-04 13:19:30																																1					3																																																																																																																																																																																																																																																																								"RDP"	10																																																																																																																																					8	4	5																																4																																																																																																																																								31		2020-11-04 13:20:01	F	F	169	169	0	0	1.42	21
795			"base"	"admin"	2020-11-04 13:38:53																																																																																																																																																																																																																																																																																																													"RDP"				80																																																																																																																																																																																																																																																																																																												80		2020-11-04 13:40:13	F	F	5	5			0.24	0
796			"base"	"admin"	2020-11-04 13:40:22																																																																						1	3016																									2	2451																																																					2	1394																																																																																																																																																						"PDR"	10	6	20	8																															2	4																									2	3																																																					2	2																																																																								4																																																																																																																				63		2020-11-04 13:41:25	F	F	189	189	0	0	1.23	56
799			"base"	"admin"	2020-11-04 13:42:58																																																																																																																																																																																																																																																																																																													"RDP"																																																																																																																																																																																																																																																																																																																0		2020-11-04 13:42:58	F	F	0	0				100
800			"base"	"admin"	2020-11-04 13:43:02																																																																																																																																																																																																																																																																																																													"PDR"		5	20	8																																	2																																																																																																																																																							1																																																																																																																				36		2020-11-04 13:43:38	F	F	38	189			1.91	125
801			"base"	"admin"	2020-11-04 13:46:48																																																																																																																																																																																																																																																																																																													"DPR"																																																																																																																																																																														8	2													1																																																																																																																				11		2020-11-04 13:46:59	F	F	176	189			2.08	188
803			"base"	"admin"	2020-11-04 13:49:06																																																																																																																																																																																																																																																																																																													"RPD"																																																																																																																																																																																																																																																																																																																0		2020-11-04 13:49:06	F	F	0	0				100
804			"base"	"admin"	2020-11-04 13:49:12																																																																																																																																																																																																																																																																																																		1	1723										"DRP"																																																																																																																																																																														10										2	2			1																																																																																																																				15		2020-11-04 13:49:27	F	F	186	189	0	0	1.83	141
806			"base"	"admin"	2020-11-04 13:52:54																																																																																																																																																																																																																																																																																																								1	9469				"PRD"																																																																																																																																																																														11																																																																																																																																		11		2020-11-04 13:53:05	F	F	175	175	0	0	1.64	32
807			"base"	"admin"	2020-11-04 19:57:12																																																																																																																																																																												1	85	1	37	1	86	1	88	1	21	1	30	2	354	1	23	1	85	1	57	2	499	1	17	1	14	1	79	1	63	1	63	1	85	1	86	1	87	1	21	1	24	1	87	1	18	1	16	1	156	1	45	1	27	1	314	1	31	1	40	1	41	1	17	1	81	1	33	1	12	1	12	1	3	1	19	1	86	1	24	1	59	1	89	1	14	1	33	1	331	1	88	1	35	1	54	1	14	1	82	1	21	1	84	1	34	1	63	1	23	1	60	2	1052	1	1555	1	430	2	670	83	31	1	7383	1	18812	1			"DPR"	17																																																																																																																																																																													19	2	1	4	1	1	3	1	1	2	2	1	3	8	37	2	1	1	1	2	0	2	0	2	1	2	0	3	0	2	0	2	0	1	1	2	1	2	1	2	0	2	0	3	0	2	0	2	0	2	0	2	0	2	1	2	0	2	0	2	0	2	0	1	1	1	0	2	1	2	0	2	0	2	0	2	0	2	0	2	0	1	1	2	0	2	0	2	0	1	0	1	1	2	0	2	1	2	0	2	0	3	0	1	1	2	0	2	0	2	1	2	0	1	1	1	1	2	1	2	0	2	1	2	0	2	0	23	9	3	261		2020-11-04 20:01:35	T	F	304	304	2	1	1.95	164
808			"base"	"admin"	2020-11-04 20:01:41	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	3	61	47	1	3	1	23	1	19	1	86	1	39	1	14	1	82	1	31	1	19	1	85	1	48	1	26	1	55	1	21	1	16	1	10	1	84	1	7	1	50	1	16	1	32	1	43	1	18	1	51	1	19	1	37	1	35	1	80	1	87	1	13	1	60	1	28	1	84	1	31	1	42	1	26	1	58	1	45	1	26	1	33	1	5	1	86	1	80	1	34	1	84	1	18	1	58	1	85	1	2	1	36	1	43	1	1	1	9	1	3	1	544	1	39	1	82	1	86	1	37	1	22	1	31	1	16	1	46	1	39	62	34			1	48	1	11	1	47	1	83	1	0	1	52	1	4	1	8	1	86	1	79	1	18	1	44	1	47	1	42	1	467	1	22	1	84	1	21	1	25	1	83	1	87	1	2	1	15	1	14	1	15	1	84	1	31	1	86	1	51	1	84	1	40	1	43	1	16	1	47	1	8	1	86	1	16	1	84	1	50	1	47	1	7	1	24	1	83	1	15	1	44	1	19	1	48	1	79	1	48	1	47	1	57	1	35	1	83	1	2	1	26	1	6	1	190	1	688	1	460	1	159	40	26	1	456	1	48246	2		89	"PRD"	8	5	20	6	1	0	2	0	2	0	2	0	2	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	1	2	0	1	0	2	0	2	0	2	0	2	0	2	0	1	1	1	1	2	0	2	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	1	1	1	0	2	0	1	0	1	1	1	0	2	0	2	0	2	1	2	0	1	1	1	1	2	0	1	1	2	0	2	0	2	0	2	0	11	15	2	3	2	2	1	2	1	2	1	2	1	2	2	1	2	1	1	1	2	3	1	1	1	2	2	2	1	2	1	1	2	1	3	2	2	3	2	1	8	50	2	0	3	1	1	3	1	1	3	2	1	3	1	80	2	1	1	1	2	0	2	0	2	0	1	1	2	1	2	0	2	0	2	0	2	0	2	1	2	0	2	0	3	1	2	0	2	1	1	1	2	0	1	1	2	1	2	0	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	2	0	2	0	1	0	1	0	2	0	1	0	2	1	2	0	1	0	2	0	1	0	2	0	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	1	2	0	1	0	7	7	2	541		2020-11-04 20:10:50	T	F	304	304	0	0	2.12	194
809			"base"	"admin"	2020-11-04 20:13:31																																								2	64	2	46	2	27	2	2	2	9	2	84	2	55	2	19	2	8	2	16	2	81	2	28	2	61	2	8	2	8	2	15	2	41	2	19	2	90	2	79	2	84	2	41	2	85	2	18	2	1	2	83	2	1	2	60	2	40	2	43	2	46	2	1200	2	29	2	18	2	13	2	14	2	2	2	0	2	54	2	81	2	16	2	27	2	14	2	28	2	45	2	49	2	14	2	36	2	42	2	6	2	14	2	5	2	46	2	86	2	43	2	50	2	87	2	54	2	60	2	54	2	79	2	87	2	86	2	16	41	52			2	41	2	82	2	86	2	54	2	14	2	56	2	84	2	13	2	64	2	86	2	61	2	40	2	32	2	27	2	21	2	76	2	15	2	84	2	87	2	31	2	85	2	58	2	84	2	79	2	39	2	13	2	36	2	83	2	86	2	19	2	85	2	23	2	14	2	16	2	86	2	82	2	56	2	40	2	27	2	55	2	16	2	86	2	27	2	86	2	56	2	83	2	19	2	38	2	85	2	44	2	86	2	58	2	43	2	7	2	30	2	62	2	1423	2	2026	2	16	2	688	64	28	1	1994	1	7401	-9			"PDR"	7	6	19	35	2	0	2	0	2	0	2	0	2	0	2	0	1	1	1	1	1	1	1	1	2	0	2	0	1	1	1	0	1	0	1	1	2	0	1	0	2	0	1	0	2	0	2	0	2	0	2	0	1	0	1	0	2	0	1	1	2	0	1	0	2	0	2	1	2	0	1	1	2	0	2	0	1	0	2	0	1	1	2	0	2	0	1	0	2	0	2	0	2	0	1	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	1	0	1	1	2	0	2	0	1	1	2	0	2	0	19	9																																								17	1	2	5	0	3	5	1	1	12	2	1	2	3	80	2	0	1	0	2	0	2	1	2	0	1	0	3	0	2	0	2	1	1	0	1	1	2	0	2	0	2	0	2	1	2	0	2	0	2	0	2	0	1	0	1	1	2	0	2	0	2	0	1	0	2	0	2	0	1	1	2	0	1	1	1	1	2	0	2	0	1	1	2	0	2	1	2	0	2	0	2	0	1	1	2	0	2	0	1	1	2	0	1	0	2	0	1	1	2	1	2	1	1	1	1	1	2	0	2	0	2	0	2	0	2	0	7	7	2	476		2020-11-04 20:21:32	T	F	304	304	2	1	2.01	189
810			"base"	"admin"	2020-11-04 20:21:39																																					4																																																																																																																																																																																																																																																																								"RDP"	8																																																																																																																																					7	3																																																																																																																																																																									18		2020-11-04 20:21:57	F	F	136	136	0	0	1.91	46
811			"base"	"admin"	2020-11-04 20:22:01																																																																																																																																																																																																																																																																																																													"RPD"		6	19	8																																																																																																																																		8																																																																																																																																																																										41		2020-11-04 20:22:42	F	F	135	135			1.66	33
813			"base"	"admin"	2020-11-05 10:20:31																																																																																																																																																																																																																																																																																																													"RPD"				7																																																																																																																																																																																																																																																																																																												7		2020-11-05 10:20:38	F	F	5	5			2.71	86
814			"base"	"admin"	2020-11-05 10:20:47	2	3	3	2	3	2	4	2	3	2	3	3	2	3	2	3	3	3	2	4	3	2	4	4	4	2	4	2	3	3	4	2	2	4	2	1	4	44	59																																																																																																																																																																																																																																																																						"RDP"	7																																																																																																																																					7	2	2	1	1	3	1	3	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	11	22																																																																																																																																			95		2020-11-05 10:22:22	F	F	174	174	0	0	2.75	200
815			"base"	"admin"	2020-11-05 10:22:42	3	3	3	4	3	4	3	3	3	3	3	3	4	3	4	4	3	1	3	3	4	1	3	4	3	3	3	3	3	4	3	3	4	3	3	3	3	84	71	1	48	1	20	1	29	1	82	1	56	1	147	1	24	1	83	1	38	1	139	1	40	1	25	1	80	1	51	1	54	1	43	1	19	1	145	1	43	1	55	1	41	1	11	1	34	1	58	1	11	1	15	1	39	1	140	1	38	1	15	1	28	1	22	1	81	1	41	1	19	1	29	1	41	1	15	1	54	1	24	1	60	1	84	1	52	1	52	1	1	1	3	1	48	1	54	1	59	1	50	1	83	1	0	1	142	1	83	1	15	1	31	1	39	1	31	1	45	1	34	1	549	1	80	1	7	1	81	57	65																																																																																																																									2	1356					1	27692				"RPD"	7	12	19	16	2	0	1	0	2	0	2	0	2	0	2	0	2	0	2	0	1	1	1	1	2	0	2	0	1	1	1	1	2	0	2	0	1	1	1	1	2	0	2	0	2	0	2	0	1	1	1	0	1	1	1	0	1	0	1	1	2	0	2	0	1	0	1	0	2	0	2	0	2	0	2	0	1	0	2	0	2	0	2	1	2	0	1	1	1	0	2	0	2	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	1	1	2	0	1	1	2	0	1	1	2	0	2	0	2	1	6	1	1	1	2	0	2	0	15	15	1	2	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	7	1	1	1	7	1	1	1	1	1	1	1	1	0	1	1	2	1	1	32	30										1	2			40																																																																																																																				363		2020-11-05 10:28:48	F	F	186	189	0	0	2.06	196
816			"base"	"admin"	2020-11-05 10:29:23	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	28	75	1	88	1	45	1	32	1	9	1	53	1	85	1	18	1	115	1	18	1	76	1	37	1	83	1	50	1	78	1	47	1	13	1	85	1	50	1	87	1	54	1	74	1	31	1	38	1	40	1	47	1	83	1	78	1	37	1	23	1	85	1	22	1	20	1	116	1	2	1	53	1	37	1	9	1	49	1	4	1	87	1	7	1	35	1	32	1	36	1	40	1	53	1	59	1	4	1	2	1	52	1	56	1	53	1	90	1	84	1	85	1	28	1	43	1	41	1	82	1	22	1	77	1	57	1	86	1	88	41	26			1	40	1	32	1	52	1	42	1	113	1	47	1	22	1	16	1	69	1	30	1	54	1	82	1	84	1	14	1	66	1	43	1	61	1	55	1	87	1	17	1	37	1	8	1	78	1	127665	1	49	1	15	1	46	1	16	1	56	1	3	1	94	1	14	1	4	1	50	1	48	1	47	1	3	1	85	1	86	1	80	1	14	1	24	1	28	1	57	1	50	1	165	1	66	1	63	1	15	1	81	1	20	1	35	1	50	1	4	1	81	1	185	1	692	1	861	1	246	1	63	28	52	1	6557	1	7882	3		18	"PRD"	8	7	19	12	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	1	1	1	2	1	2	0	1	1	2	0	2	0	2	0	1	0	2	0	2	0	2	0	2	0	2	0	1	0	1	1	2	0	1	0	2	0	2	0	1	1	1	1	1	1	2	0	1	0	1	1	2	0	1	1	1	0	2	0	2	0	2	0	2	0	1	1	2	0	1	0	1	1	2	0	1	0	2	0	1	1	2	0	2	0	1	0	1	0	2	0	2	0	2	0	2	0	2	0	2	0	1	1	2	0	2	0	2	0	2	0	2	0	7	8	2	2	1	2	1	0	1	10	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	2	1	1	1	0	1	1	6	9	2	0	3	0	1	3	1	1	6	2	0	12	7	79	2	0	1	1	1	0	2	0	1	1	2	0	3	0	2	0	1	1	2	0	1	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	1	3	0	1	128	1	1	2	0	2	0	1	1	2	0	1	1	2	0	2	0	1	1	1	0	2	0	2	0	1	1	2	0	1	1	2	0	2	0	2	0	1	1	2	0	1	1	1	1	2	0	2	0	2	0	1	1	2	0	2	0	2	0	2	0	1	1	1	1	6	20	2	496		2020-11-05 10:39:49	T	F	304	304	1	0	2.12	203
817			"base"	"admin"	2020-11-05 10:34:13																																																																																																																																																																										1	9256																																																																																																																																		"RPD"				10																																																																																																																																																																																																																																																																																																												10		2020-11-05 10:34:23	F	F	5	5	0	0	1.9	45
818			"base"	"admin"	2020-11-05 10:34:35																																					3																																																																																																																																																																																																																																																																								"RDP"	175																																																																																																																																					81	19																																																																																																																																																																									42		2020-11-05 10:39:10	F	F	136	136	0	0	0.21	0
820			"base"	"admin"	2020-11-05 10:41:15																																																																																																																																																																																																																																																																																																		2	1732																																																																																																																																																																																																		2	2																																																																																																																							4		2020-11-05 10:41:19	F	F	186	186	0	0	1.25	13
825			"base"	"pretest"	2020-11-05 12:02:37	1	3	2	3	2	2	3	1	4	3	4	2	3	4	1	3	2	1	4	3	3	1	2	1	4	2	3	1	4	3	3	1	4	3	3	3	3	51	46	2	2571	2	1570	1	289	1	971	1	259	1	228	1	1490	1	2797	1	2142	1	351	1	1471	1	4345	2	2168	1	1537	1	407	1	1110	1	1393	2	818	2	481	1	1078	2	1710	2	402	1	604	2	1685	2	240	2	428	2	1647	1	4946	1	2848	2	231	1	230	2	675	1	500	2	1448	1	2574	1	241	2	897	1	431	1	262	2	1021	1	119	1	332	2	243	1	4578	2	458	1	1293	1	1034	1	406	1	455	2	648	2	455	1	2870	1	929	1	319	1	1000	1	2576	2	624	1	2671	2	1955	2	1296	2	366	2	888	2	984	2	1744	17	45	1	32297	1	545	2	235	1	318	2	834	1	407	1	443	1	379	1	1960	1	955	1	437	1	290	1	458	1	336	1	814	2	593	2	596	2	5554	2	258	2	1073	2	1697	2	683	2	2480	2	441	1	1171	1	533	1	464	1	1265	2	446	2	1806	1	1288	2	508	2	398	1	773	2	538	2	390	2	772	2	4850	1	694	2	979	2	3860	2	351	2	2196	1	917	2	347	1	2164	2	314	2	721	2	3838	1	2092	2	538	2	3137	2	658	2	266	2	1335	2	14828	2	1927	2	1325	2	1552	1	2137	1	972	34	48	1	15043	1	40331	1		24	"RDP"	59	17	20	49	3	3	2	2	3	1	3	2	2	1	3	0	2	2	3	3	2	3	2	1	2	2	3	4	3	2	2	4	2	1	2	2	2	2	2	1	1	2	3	1	2	2	2	1	3	1	2	2	2	1	3	1	1	3	2	5	2	4	2	1	2	1	2	1	2	1	2	2	2	3	2	0	2	1	3	1	3	1	2	1	2	1	3	1	2	1	2	5	2	1	2	2	2	1	3	1	2	1	3	1	2	1	2	4	2	2	2	1	2	2	3	3	3	1	2	3	2	2	2	2	2	1	2	1	2	1	2	3	12	103	19	13	9	9	112	8	6	12	9	45	16	27	26	8	17	11	12	19	18	11	18	8	27	7	39	22	18	12	9	40	6	9	7	9	6	9	69	15	22	40	3	2	7	2	2	8	2	3	7	3	1	7	16	113	3	1	3	1	2	1	2	2	3	1	2	1	3	1	3	2	2	1	1	1	2	1	3	1	3	1	3	1	3	1	3	1	3	6	2	1	3	1	2	2	2	1	2	3	3	1	2	2	2	1	2	1	3	2	2	1	2	2	2	2	2	2	2	1	2	1	2	1	3	1	3	1	2	5	2	1	2	1	2	5	3	1	3	2	1	2	3	1	2	3	2	1	3	1	3	4	3	2	2	1	2	4	2	1	3	1	2	2	2	16	2	2	13	12	14	1423		2020-11-05 12:32:18	T	F	304	304	0	0	0.87	6
828			"base"	"interview"	2020-11-18 18:01:02																																																																																																																																																																																																																																																																																																								1	10084				"DRP"	7																																																																																																																																																																													11							2							0																																																																																																																				20		2020-11-18 18:01:22	F	F	182	189	0	0	1.84	142
