Trial,StimulusType_Con_1_Inc_2_Nt_3,CorrectFinger,Sync_1_Async_2,ResponseCorrect,ReactionTime,FiXDuration
184,3,1,1,0,0,0
185,3,1,2,0,0,0
186,3,2,2,0,0,0
187,1,2,1,0,0,0
188,3,1,2,0,0,0
189,1,2,1,0,0,0
190,2,2,1,0,0,0
191,1,2,2,0,0,0
192,2,1,1,0,0,0
193,1,2,1,0,0,0
194,1,1,2,0,0,0
195,3,2,1,0,0,0
196,2,1,2,0,0,0
197,3,2,2,0,0,0
198,1,1,1,0,0,0
199,1,2,1,0,0,0
200,3,1,2,0,0,0
201,2,1,1,0,0,0
202,3,2,2,0,0,0
203,2,1,2,0,0,0
204,1,1,2,0,0,0
205,3,1,1,0,0,0
206,1,2,2,0,0,0
207,2,1,1,0,0.466769399999976,0
208,2,1,2,0,0,0
209,2,2,1,0,0,0
210,3,1,2,0,0,0
211,2,2,2,0,0,0
212,1,2,2,0,0,0
213,1,2,2,0,0,0
214,2,1,2,0,0,0
215,2,2,2,0,0,0
216,1,1,2,0,0,0
217,2,2,1,0,0,0
218,2,1,2,0,0,0
219,3,2,2,0,0,0
220,1,1,1,0,0,0
221,2,1,2,0,0,0
222,3,2,1,0,0,0
223,3,2,1,0,0,0
224,2,1,1,0,0,0
225,2,1,1,0,0,0
226,2,1,1,0,0,0
227,2,1,1,0,0,0
228,1,2,1,0,0,0
229,1,1,1,0,0,0
230,3,1,2,0,0,0
231,2,1,1,0,0,0
232,3,1,2,0,0,0
233,1,2,2,0,0,0
234,3,1,2,0,0,0
235,3,2,2,0,0,0
236,3,1,2,0,0,0
237,3,2,2,0,0,0
238,3,1,2,0,0,0
239,3,1,1,0,0,0
240,1,1,1,0,0,0
241,3,1,2,0,0,0
242,3,2,2,0,0,0
243,2,1,2,0,0,0
244,3,1,2,0,0,0
245,1,2,2,0,0,0
246,1,1,1,0,0,0
247,2,2,2,0,0,0
248,2,2,2,0,0,0
249,1,2,2,0,0,0
250,3,1,1,0,0,0
251,3,2,2,0,0,0
252,1,1,2,0,0,0
253,2,1,1,0,0,0
254,3,1,2,0,0,0
255,3,1,2,0,0,0
256,3,2,1,0,0,0
257,3,1,2,0,0,0
258,3,1,2,0,0,0
259,3,1,1,0,0,0
260,1,2,2,0,0,0
261,2,1,2,0,0,0
262,2,2,2,0,0,0
263,2,1,1,0,0,0
264,2,2,2,0,0,0
265,3,2,1,0,0,0
266,2,2,2,0,0,0
267,2,1,1,0,0,0
268,3,2,1,0,0,0
269,3,1,2,0,0,0
270,2,2,1,0,0,0
271,1,1,2,0,0,0
272,1,1,2,0,0,0
273,1,2,2,0,0,0
274,3,2,2,0,0,0
275,2,1,2,0,0,0
276,1,1,2,0,0,0
277,3,2,1,0,0,0
278,3,1,2,0,0,0
279,2,2,1,0,0,0
280,3,1,2,0,0,0
281,1,1,1,0,0,0
282,3,2,1,0,0,0
283,3,1,2,0,0,0
284,3,2,2,1,99,0
285,1,2,2,0,0,0
286,1,1,1,0,0,0
287,3,2,2,0,0,0
288,1,2,1,0,0,0
289,2,1,1,0,0,0
290,3,2,1,0,0,0
291,2,2,2,0,0,0
292,1,2,1,0,0,0
293,3,1,2,0,0,0
294,3,1,1,0,0,0
295,2,1,2,0,0,0
296,3,1,2,0,0,0
297,1,2,1,0,0,0
298,2,2,1,0,0,0
299,1,2,1,0,0,0
300,1,1,2,0,0,0
301,2,1,1,0,0,0
302,1,2,2,0,0,0
303,1,1,2,0,0,0
304,2,2,2,0,0,0
305,1,2,1,0,0,0
306,2,1,2,0,0,0
307,3,2,2,0,0,0
308,1,1,1,0,0,0
309,2,2,1,0,0,0
310,3,2,1,0,0,0
311,1,1,1,0,0,0
312,1,1,2,0,0,0
313,2,1,1,0,0,0
314,1,1,2,0,0,0
315,3,2,1,0,0,0
316,1,1,2,0,0,0
317,3,1,1,0,0,0
318,2,1,1,0,0,0
319,2,2,1,0,0,0
320,3,2,1,0,0,0
321,1,1,1,0,0,0
322,3,2,1,0,0,0
323,2,2,2,0,0,0
324,2,1,1,0,0,0
325,1,1,1,0,0,0
326,1,1,1,0,0,0
327,1,1,1,0,0,0
328,3,2,1,0,0,0
329,2,2,2,0,0,0
330,3,1,2,0,0,0
331,2,2,2,0,0,0
332,3,2,1,0,0,0
333,3,2,2,0,0,0
334,1,1,2,0,0,0
335,2,1,1,0,0,0
336,3,1,1,0,0,0
337,1,2,1,0,0,0
338,1,2,2,0,0,0
339,3,2,1,0,0,0
340,1,1,2,0,0,0
341,1,1,1,0,0,0
342,3,2,1,0,0,0
343,3,1,1,0,0,0
344,3,2,2,0,0,0
345,1,1,2,0,0,0
346,1,1,1,0,0,0
347,1,2,1,0,0,0
348,2,2,1,0,0,0
349,1,1,2,0,0,0
350,1,2,2,0,0,0
351,3,2,1,0,0,0
352,3,1,1,0,0,0
353,2,1,1,0,0,0
354,1,1,2,0,0,0
355,1,1,1,0,0,0
356,1,1,2,0,0,0
357,1,1,2,0,0,0
358,1,2,1,0,0,0
359,1,2,2,0,0,0
360,2,1,1,0,0,0
